SAMPLEID,CORAL_NUM,GENOTYPE,TREATMENT,VOLUME(ML),BP(G),BP+DR(G),DTB(G),BP+BR(G),AFDW
T_125_a,125,T,Control,1,0.9661,0.9995,0.0334,0.9911,0.0084
T_125_b,125,T,Control,1,0.9701,1.0048,0.0347,0.9956,0.0092
P_127,127,P,Rubble_Dom,1,0.9683,1.0041,0.0358,0.9956,0.0085
P_127_a,127,P,Rubble_Dom,1,0.9553,0.9847,0.0294,0.9777,0.007
P_127_b,127,P,Rubble_Dom,1,0.9609,0.99,0.0291,0.9826,0.0074
R_128,128,R,Algae_Dom,1,0.7963,0.8265,0.0302,0.8183,0.0082
R_128_a,128,R,Algae_Dom,1,0.9722,0.9934,0.0212,0.9888,0.0046
R_128_b,128,R,Algae_Dom,1,0.9778,0.9995,0.0217,0.9951,0.0044
U_134,134,U,Control,1,0.7996,0.8291,0.0295,0.8232,0.0059
U_134_a,134,U,Control,1,0.9625,0.9888,0.0263,0.9844,0.0044
U_134_b,134,U,Control,1,0.968,0.9948,0.0268,0.9895,0.0053
P_135,135,P,Algae_Dom,1,0.7904,0.8204,0.03,0.8129,0.0075
P_135_a,135,P,Algae_Dom,1,0.9734,1.0007,0.0273,0.9935,0.0072
P_135_b,135,P,Algae_Dom,1,0.9774,1.0043,0.0269,0.9978,0.0065
S_136,136,S,Coral_Dom,1,0.7904,0.8135,0.0231,0.808,0.0055
S_136_a,136,S,Coral_Dom,1,0.9707,0.9916,0.0209,0.9876,0.004
S_136_b,136,S,Coral_Dom,1,0.9681,0.9882,0.0201,0.9849,0.0033
P_137,137,P,Coral_Dom,1,0.7935,0.8314,0.0379,0.8227,0.0087
P_137_a,137,P,Coral_Dom,1,0.9682,1.0049,0.0367,0.9961,0.0088
P_137_b,137,P,Coral_Dom,1,0.9661,1.0025,0.0364,0.9936,0.0089
R_138,138,R,Coral_Dom,1,0.9796,1.0238,0.0442,1.0119,0.0119
R_138_a,138,R,Coral_Dom,1,0.9569,1.0022,0.0453,0.9878,0.0144
R_138_b,138,R,Coral_Dom,1,0.9607,1.0052,0.0445,0.9912,0.014
T_139,139,T,Rubble_Dom,1,0.7928,0.826,0.0332,0.8164,0.0096
T_139_a,139,T,Rubble_Dom,1,0.9651,0.9905,0.0254,0.985,0.0055
T_139_b,139,T,Rubble_Dom,1,0.9788,1.0048,0.026,0.999,0.0058
V_140,140,V,Coral_Dom,1,0.7913,0.8222,0.0309,0.815,0.0072
V_140_a,140,V,Coral_Dom,1,0.9599,0.9878,0.0279,0.9828,0.005
V_140_b,140,V,Coral_Dom,1,0.9777,1.0063,0.0286,1.0016,0.0047
T_141,141,T,Algae_Dom,1,0.7926,0.8256,0.033,0.8164,0.0092
T_141_a,141,T,Algae_Dom,1,0.9472,0.9778,0.0306,0.9715,0.0063
T_141_b,141,T,Algae_Dom,1,0.9711,1.0031,0.032,0.9951,0.008
V_144,144,V,Pre,1,0.9603,0.9919,0.0316,0.9856,0.0063
V_144_a,144,V,Pre,1,0.967,0.9979,0.0309,0.9919,0.006
V_144_b,144,V,Pre,1,0.9649,0.9956,0.0307,0.9905,0.0051
D_145,145,D,Rubble_Dom,1,0.793,0.8275,0.0345,0.8183,0.0092
D_145_a,145,D,Rubble_Dom,1,0.9692,1.002,0.0328,0.9949,0.0071
D_145_b,145,D,Rubble_Dom,1,0.9814,1.0139,0.0325,1.0076,0.0063
O_146,146,O,Control,1,0.7917,0.8296,0.0379,0.8159,0.0137
O_146_a,146,O,Control,1,0.9846,1.0162,0.0316,1.0073,0.0089
O_146_b,146,O,Control,1,0.9754,1.0081,0.0327,0.9988,0.0093
H_147,147,H,Coral_Dom,1,0.7912,0.832,0.0408,0.821,0.011
H_147_a,147,H,Coral_Dom,1,0.9719,1.0121,0.0402,1.0001,0.012
H_147_b,147,H,Coral_Dom,1,0.9686,1.0101,0.0415,0.9971,0.013
O_149,149,O,Rubble_Dom,1,0.9776,1.0027,0.0251,0.9983,0.0044
O_149_a,149,O,Rubble_Dom,1,0.9644,0.985,0.0206,0.9821,0.0029
O_149_b,149,O,Rubble_Dom,1,0.964,0.9847,0.0207,0.9813,0.0034
H_150,150,H,Pre,1,0.9805,1.0181,0.0376,1.0102,0.0079
H_150_a,150,H,Pre,1,0.9652,1.0036,0.0384,0.9939,0.0097
H_150_b,150,H,Pre,1,0.9694,1.0084,0.039,0.9984,0.01
W_151,151,W,Control,1,0.7915,0.8291,0.0376,0.8193,0.0098
W_151_a,151,W,Control,1,0.9748,1.0101,0.0353,1.0027,0.0074
W_151_b,151,W,Control,1,0.9706,1.006,0.0354,0.998,0.008
D_153,153,D,Algae_Dom,1,0.9702,1.0126,0.0424,1.001,0.0116
D_153_a,153,D,Algae_Dom,1,0.9626,0.9927,0.0301,0.9842,0.0085
D_153_b,153,D,Algae_Dom,1,0.964,0.9948,0.0308,0.9853,0.0095
W_155,155,W,Algae_Dom,1,0.7864,0.8264,0.04,0.8147,0.0117
W_155_a,155,W,Algae_Dom,1,0.9463,0.9825,0.0362,0.9728,0.0097
W_155_b,155,W,Algae_Dom,1,0.959,0.9965,0.0375,0.9867,0.0098
H_156,156,H,Algae_Dom,1,0.981,1.0182,0.0372,1.0092,0.009
H_156_a,156,H,Algae_Dom,1,0.9673,1.0033,0.036,0.994,0.0093
H_156_b,156,H,Algae_Dom,1,0.973,1.0084,0.0354,0.9988,0.0096
W_157,157,W,Pre,1,0.9603,1.0042,0.0439,0.9915,0.0127
W_157_a,157,W,Pre,1,0.9624,1,0.0376,0.9905,0.0095
W_157_b,157,W,Pre,1,0.9721,1.0098,0.0377,1.0002,0.0096
H_159,159,H,Rubble_Dom,1,0.7864,0.8266,0.0402,0.8168,0.0098
H_159_a,159,H,Rubble_Dom,1,0.9605,1,0.0395,0.9902,0.0098
H_159_b,159,H,Rubble_Dom,1,0.9723,1.013,0.0407,1.0022,0.0108
H_159,159,H,,1,0.9708,0.9949,0.0241,0.9902,0.0047
H_159_a,159,H,,1,0.9631,0.9871,0.024,0.9828,0.0043
H_159_b,159,H,,1,0.9793,1.003,0.0237,0.9986,0.0044
H_161,161,H,Control,1,0.7906,0.8366,0.046,0.8259,0.0107
H_161_a,161,H,Control,1,0.9665,1.0091,0.0426,1.0006,0.0085
H_161_b,161,H,Control,1,0.973,1.0149,0.0419,1.0059,0.009
O_162,162,O,Algae_Dom,1,0.7947,0.824,0.0293,0.8155,0.0085
O_162_a,162,O,Algae_Dom,1,0.9741,1.0025,0.0284,0.9946,0.0079
O_162_b,162,O,Algae_Dom,1,0.9705,0.999,0.0285,0.9914,0.0076
X_202,202,X,Control,1,0.7982,0.8269,0.0287,0.8202,0.0067
X_202_a,202,X,Control,1,0.9626,0.9816,0.019,0.9781,0.0035
X_202_b,202,X,Control,1,0.9589,0.9781,0.0192,0.9744,0.0037
X_203,203,X,Algae_Dom,1,0.7929,0.8256,0.0327,0.817,0.0086
X_203_a,203,X,Algae_Dom,1,0.9761,1.005,0.0289,0.9985,0.0065
X_203_b,203,X,Algae_Dom,1,0.9657,0.9966,0.0309,0.9892,0.0074
Q_204,204,Q,Algae_Dom,1,0.7917,0.8219,0.0302,0.8143,0.0076
Q_204_a,204,Q,Algae_Dom,1,0.9677,0.9911,0.0234,0.9855,0.0056
Q_204_b,204,Q,Algae_Dom,1,0.9679,0.9924,0.0245,0.9864,0.006
Q_206,206,Q,Rubble_Dom,1,0.7941,0.8245,0.0304,0.8145,0.01
Q_206_a,206,Q,Rubble_Dom,1,0.9833,1.0099,0.0266,1.0037,0.0062
Q_206_b,206,Q,Rubble_Dom,1,0.988,1.0165,0.0285,1.009,0.0075
X_207,207,X,Coral_Dom,1,0.7948,0.8143,0.0195,0.8095,0.0048
X_207_a,207,X,Coral_Dom,1,0.9649,0.9889,0.024,0.9844,0.0045
X_207_b,207,X,Coral_Dom,1,0.9713,0.997,0.0257,0.9923,0.0047
X_208,208,X,Pre,1,0.7944,0.8466,0.0522,0.8319,0.0147
X_208_a,208,X,Pre,1,0.9548,1.0044,0.0496,0.9911,0.0133
X_208_b,208,X,Pre,1,0.9683,1.0203,0.052,1.0061,0.0142
Q_210,210,Q,Coral_Dom,1,0.7906,0.822,0.0314,0.8142,0.0078
Q_210_a,210,Q,Coral_Dom,1,0.9664,0.9953,0.0289,0.9893,0.006
Q_210_b,210,Q,Coral_Dom,1,0.9774,1.0057,0.0283,1.0003,0.0054
