CORAL_NUM,GENOTYPE,CORAL_TANK_NUM,TANK_NUM,TREATMENT,750,663,630,Chla,Chlc,Chla_norm,Chlc_norm,Chl_total,SA_cm_2,chla.ug.cm2,chlc2.ug.cm2
140,V,16,8,Control,0.036,0.089,0.053,0.9915166666666666,0.13988000000000006,0.9364999999999999,0.10385000000000003,1.0403499999999999,49.7504146,0.019929817161094907,0.002811634860224865
97,V,26,13,Algae_Dom,0.038,0.059,0.046,0.3915166666666666,0.08967,0.3364999999999999,0.053639999999999965,0.3901399999999999,67.46865567,0.005802941570106826,0.001329061608083468
156,H,7,4,Algae_Dom,0.045,0.174,0.09,2.40945,0.4385999999999999,2.391466666666667,0.41756000000000015,2.809026666666667,68.73424432,0.03505457903607021,0.006381098742543066
108,F,23,12,Rubble_Dom,0.043,0.09,0.057,0.8804166666666667,0.09491000000000016,0.8254,0.05888000000000013,0.8842800000000002,57.56090454,0.015295393178799873,0.0016488622053193356
2,M,25,13,Algae_Dom,0.036,0.089,0.051,0.9936499999999998,0.0857,0.9756666666666667,0.06466000000000027,1.040326666666667,50.36512909,0.019728927890255106,0.0017015741158303858
53,L,1,1,Algae_Dom,0.037,0.232,0.098,3.6496833333333334,0.47274000000000016,3.594666666666667,0.43671000000000015,4.031376666666667,87.50111598,0.041710134693225355,0.0054026739511305625
73,B,10,5,Rubble_Dom,0.036,0.154,0.072,2.2095,0.2613399999999999,2.191516666666667,0.24030000000000018,2.431816666666667,68.08337015,0.032452858827817586,0.003838529136031612
153,D,28,14,Algae_Dom,0.033,0.22,0.092,3.499416666666667,0.4669599999999998,3.4444,0.4309299999999998,3.87533,70.18063134,0.049862997807945716,0.006653687649769721
51,F,12,6,Coral_Dom,0.048,0.132,0.072,1.5746000000000002,0.14195999999999975,1.5566166666666672,0.12092000000000003,1.6775366666666671,54.01725633,0.02914994405455395,0.0026280490651495432
1,T,13,7,Coral_Dom,0.039,0.126,0.065,1.6296166666666665,0.1779900000000001,1.5745999999999998,0.14196000000000006,1.7165599999999999,92.74426895,0.017571076737315384,0.0019191482343341073
46,C,29,15,Control,0.138,0.043,0.066,-1.7329500000000007,-1.3757300000000001,-1.7509333333333337,-1.3967699999999998,-3.1477033333333333,43.89254715,-0.039481645803734144,-0.03134313429791463
148,O,12,6,Coral_Dom,0.033,0.099,0.055,1.2338333333333336,0.1966799999999999,1.1788166666666668,0.16064999999999988,1.3394666666666668,35.90125883,0.03436741143745943,0.005478359433893976
127,P,22,11,Control,0.041,0.268,0.117,4.243283333333333,0.6854900000000004,4.2253,0.6644500000000007,4.88975,27.29525602,0.15545863831517684,0.025113887904100355
40,A,32,16,Coral_Dom,0.034,0.172,0.077,2.583033333333333,0.3299699999999999,2.528016666666666,0.29393999999999987,2.821956666666666,73.32652312,0.03522645317719699,0.004500008809363547
28,P,5,3,Control,0.037,0.142,0.064,1.97145,0.09618000000000027,1.953466666666667,0.07514000000000054,2.0286066666666676,57.19930778,0.03446632619371185,0.001681488880423655
123,S,28,14,Algae_Dom,0.041,0.158,0.075,2.192583333333333,0.2132099999999999,2.1375666666666664,0.17717999999999987,2.3147466666666663,46.60452282,0.04704657832892565,0.0045748778680446515
48,C,31,16,Coral_Dom,0.035,0.27,0.106,4.401016666666667,0.5016399999999996,4.346,0.46560999999999964,4.81161,46.7853212,0.09406832215286078,0.010722166421719461
41,B,31,16,Coral_Dom,0.038,0.079,0.054,0.7639833333333333,0.18539,0.7460000000000002,0.16435000000000027,0.9103500000000004,133.098467,0.005739985970937842,0.0013928785520873055
18,V,4,2,Rubble_Dom,0.037,0.097,0.056,1.1227333333333336,0.15171000000000007,1.0677166666666669,0.11568000000000003,1.1833966666666669,52.715508,0.021297970482108103,0.0028779007498135095
11,M,6,3,Control,0.036,0.098,0.059,1.156566666666667,0.24796999999999997,1.138583333333334,0.22693000000000024,1.3655133333333342,77.59336485,0.014905484108112719,0.0031957629428671433
58,A,29,15,Control,0.046,0.094,0.063,0.8962666666666668,0.17013,0.8782833333333336,0.14909000000000028,1.027373333333334,75.38762463,0.011888777117803012,0.0022567364449403
90,G,23,12,Rubble_Dom,0.037,0.157,0.073,2.2476000000000003,0.2492399999999999,2.1925833333333333,0.21320999999999987,2.405793333333333,37.63692326,0.05971795261991349,0.0066222203732813805
68,F,30,15,Control,0.039,0.204,0.092,3.0867166666666663,0.43752000000000013,3.0687333333333333,0.4164800000000004,3.4852133333333337,49.208019470000004,0.06272791914635995,0.008891233679232653
155,W,8,4,Algae_Dom,0.039,0.281,0.113,4.5311666666666675,0.5405600000000002,4.4761500000000005,0.5045300000000001,4.98068,36.87757007,0.12287053236061189,0.014658232605183149
149,O,3,2,Rubble_Dom,0.04,0.081,0.057,0.7629166666666667,0.21248000000000006,0.7449333333333336,0.19144000000000033,0.936373333333334,40.74665536,0.01872341815361865,0.005214661132864086
16,B,7,4,Algae_Dom,0.038,0.241,0.108,3.7924833333333337,0.6681500000000002,3.737466666666667,0.6321200000000002,4.369586666666668,60.52599794,0.06265874933764592,0.011039057970797007
43,N,12,6,Coral_Dom,0.043,0.271,0.107,4.275133333333334,0.35435999999999956,4.25715,0.33331999999999984,4.59047,52.49854995,0.08143336030052262,0.0067499007179721085
66,R,29,15,Control,0.038,0.123,0.061,1.5947166666666666,0.10882000000000014,1.5396999999999998,0.0727900000000001,1.61249,69.16816042,0.02305564665856797,0.0015732672278578452
8,J,11,6,Coral_Dom,0.046,0.104,0.054,1.0963666666666667,-0.13418,1.04135,-0.17021000000000003,0.87114,73.79659891,0.014856601562407515,-0.0018182409756260134
141,T,8,4,Algae_Dom,0.042,0.126,0.068,1.5724666666666665,0.1961400000000001,1.5544833333333334,0.17510000000000037,1.7295833333333337,75.27914561,0.020888476535230252,0.00260550247230682
207,X,11,6,Coral_Dom,0.042,0.238,0.101,3.6708666666666665,0.41251000000000015,3.61585,0.37648000000000015,3.99233,71.55469902,0.05130154576767398,0.005764960312176017
13,U,9,5,Rubble_Dom,0.05,0.075,0.059,0.46664999999999995,0.09255999999999986,0.41163333333333324,0.05652999999999983,0.46816333333333304,60.34519957,0.007733009474244746,0.0015338419735049667
210,Q,17,9,Coral_Dom,0.05,0.13,0.073,1.4994666666666667,0.1390699999999998,1.4814833333333337,0.11803000000000008,1.5995133333333338,70.50606842,0.02126720011864004,0.001972454330761559
139,T,24,12,Rubble_Dom,0.036,0.192,0.082,2.9227333333333334,0.30234000000000016,2.8677166666666665,0.26631000000000016,3.1340266666666667,59.80280443,0.048872847372140094,0.005055615750493662
161,H,5,3,Control,0.037,0.058,0.044,0.3925833333333334,0.06257999999999994,0.37460000000000027,0.041540000000000216,0.4161400000000005,99.57844764,0.003942452836306672,6.284492426136394e-4
145,D,10,5,Rubble_Dom,0.058,0.106,0.075,0.8962666666666665,0.17012999999999984,0.8782833333333334,0.1490900000000001,1.0273733333333335,56.18683687,0.015951541617129417,0.0030279334000173595
96,N,19,10,Rubble_Dom,0.032,0.173,0.074,2.64125,0.2847299999999999,2.623266666666667,0.2636900000000002,2.8869566666666673,69.09584107,0.03822588970766254,0.004120797946602083
56,A,28,14,Algae_Dom,0.033,0.093,0.052,1.1227333333333334,0.1517099999999999,1.0677166666666666,0.11567999999999987,1.1833966666666664,59.11577059,0.018992111954694784,0.0025663202642183455
138,R,32,16,Coral_Dom,0.038,0.206,0.085,3.150266666666666,0.2568300000000001,3.132283333333333,0.2357900000000004,3.3680733333333333,60.16440119,0.0523609743362704,0.004268803394035743
63,E,17,9,Coral_Dom,0.031,0.11,0.055,1.47935,0.17220999999999997,1.461366666666667,0.15117000000000025,1.6125366666666672,48.91874206,0.030240965685207972,0.003520327644336813
64,K,22,11,Control,0.033,0.13,0.059,1.8201166666666668,0.11748999999999987,1.7651000000000001,0.08145999999999984,1.84656,96.68567359,0.01882509165096118,0.0012151748613576565
102,I,30,15,Control,0.032,0.34,0.12,5.773533333333335,0.5205199999999994,5.755550000000001,0.4994799999999997,6.255030000000001,97.80662354,0.05903008532926332,0.005321929958937006
10,G,17,9,Coral_Dom,0.034,0.108,0.055,1.3873,0.12118999999999991,1.3322833333333333,0.08515999999999987,1.4174433333333332,54.63197081,0.025393555814136298,0.002218298154051161
110,K,9,5,Rubble_Dom,0.035,0.174,0.078,2.6020833333333333,0.3239199999999999,2.5841000000000003,0.30288000000000015,2.8869800000000003,109.7393165,0.023711495718431355,0.0029517224120855527
92,G,2,1,Algae_Dom,0.036,0.401,0.143,6.839116666666668,0.6903799999999993,6.821133333333335,0.6693399999999996,7.490473333333334,49.4611372,0.13827253180637886,0.013958029254531561
128,R,25,13,Algae_Dom,0.036,0.106,0.057,1.3111000000000002,0.14539000000000013,1.2560833333333334,0.1093600000000001,1.3654433333333336,98.24053964,0.0133458143125485,0.0014799389389836227
146,O,21,11,Control,0.032,0.201,0.081,3.1671833333333335,0.3049599999999999,3.1492000000000004,0.28392000000000017,3.4331200000000006,71.62701837,0.044217718472836294,0.00425761126094463
74,E,20,10,Rubble_Dom,0.034,0.252,0.099,4.083566666666667,0.44195000000000007,4.02855,0.40592000000000006,4.43447,58.82649319,0.06941713580439703,0.007512771474794078
206,Q,4,2,Rubble_Dom,0.033,0.148,0.067,2.1544833333333333,0.22531000000000023,2.0994666666666664,0.1892800000000002,2.2887466666666665,31.09202197,0.06929376723752949,0.0072465534797768
113,C,3,2,Rubble_Dom,0.031,0.091,0.05,1.1227333333333334,0.15171000000000012,1.1047500000000003,0.1306700000000004,1.2354200000000009,63.31029297,0.017733819899796513,0.0023962928124797796
134,U,22,11,Control,0.063,0.104,0.067,0.7767833333333333,-0.1396899999999999,0.7217666666666666,-0.17571999999999993,0.5460466666666666,44.07334552,0.017624787139901545,-0.0031694893671416462
