Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-G6,2024-11-22 14:07:27,50.9,15091,2900,10776,296.53,56.98,300.39,629699.9,1036534.3,632505.4,1673004.6,2077855.4,1675310.8,812218.4,2513143.8,829816.4,4442109.0,5462905.5,4444508.5,87575.0,222262.1,89100.1,33567.8,49930.6,33404.4,1573111.3,4802618.5,1603647.4
01-Well-H6,2024-11-22 14:12:28,18.7,3,0,0,0.16,0.00,0.00,1253019.9,####,####,1192972.8,####,####,667767.1,####,####,3776154.3,####,####,18614.8,####,####,26596.4,####,####,438450.1,####,####
01-Well-A5(1),2024-11-22 13:29:37,25.2,2455,263,1197,97.39,10.43,117.02,549371.3,1030815.8,559331.8,1418898.1,1978409.5,1450075.4,691682.0,2500514.3,714068.1,4352279.0,5579578.5,4442265.5,75675.9,205158.7,77697.1,32219.2,45021.9,30226.4,1365123.9,4830855.0,1403054.6
01-Well-A5(2),2024-11-22 13:30:51,18.7,5,0,0,0.27,0.00,0.00,835570.1,####,####,4454493.0,####,####,208820.2,####,####,5696429.5,####,####,23114.1,####,####,33797.0,####,####,162151.6,####,####
01-Well-A5(3),2024-11-22 13:32:12,25.2,17,0,2,0.67,0.00,0.21,644784.3,####,449235.2,3704328.3,####,1402798.9,127575.2,####,153355.1,5410088.5,####,3276293.3,26423.9,####,23514.7,28436.5,####,16417.8,123642.8,####,262937.6
01-Well-E5(1),2024-11-22 13:42:32,24.5,5895,434,1777,240.66,17.72,200.56,568447.1,1031019.4,566459.2,1504848.3,1854069.4,1442385.9,708050.3,2451160.3,752042.8,4204100.0,5470086.5,4192068.5,73608.4,202402.2,75983.9,32227.2,45534.8,30741.4,1393969.0,4699824.0,1460245.0
01-Well-E5(2),2024-11-22 13:43:48,90.1,51124,10978,43983,567.48,121.86,586.25,561033.6,1032094.1,557282.1,1431643.0,1853343.4,1421282.9,764374.6,2472690.5,765025.2,4087913.8,5390677.0,4069299.3,77084.5,204649.0,77134.0,31158.6,44606.9,30577.1,1477007.8,4707099.0,1475621.8
01-Well-F5(1),2024-11-22 13:47:11,19.2,357,10,25,18.60,0.52,6.05,549812.8,1022194.8,541890.4,1169763.0,2283521.3,1217607.0,867364.8,2130135.0,929815.9,3873577.0,5656237.0,3888953.3,95473.5,217429.6,99607.3,44652.1,66752.4,34371.3,1892703.5,4579207.5,1997284.0
01-Well-G6(1),2024-11-22 14:10:08,90.2,29803,6855,25558,330.58,76.04,340.36,636932.5,1039516.4,637506.5,1698679.3,2093940.5,1697105.0,819041.6,2510964.5,825797.6,4439092.5,5444062.0,4423306.0,88156.6,220236.8,88575.1,34159.2,49683.7,34051.9,1587933.0,4799278.5,1597939.8
01-Well-H6(1),2024-11-22 14:13:30,10.3,1,0,0,0.10,0.00,0.00,2996515.3,####,####,5748103.0,####,####,143111.0,####,####,5694873.5,####,####,145069.0,####,####,169044.7,####,####,468570.9,####,####
