flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
8,36.4,29,1,0,8.048611515,0.010278044,401788.013,403473.362,401788.013,403473.362,401788.013,403474.8068,1.813811581,0.259885921,2.083975546,2.333698,4164.538347,6225.061284
8,36.4,28.6,1,0,8.009516045,0.011301713,437687.2447,439564.0382,437687.2447,439564.0382,437687.2447,439565.6911,1.808789502,0.233471424,2.05356264,2.275838,3733.443733,5588.177807
8,36.4,28.6,1,0,8.081450292,0.009556002,370080.1955,371613.6343,370080.1955,371613.6343,370080.1955,371614.9139,1.804904508,0.274937627,2.089398137,2.3549,4396.530168,6580.678341
8,36.4,27.7,1,0,8.106554592,0.009169831,347627.2651,349064.1561,347627.2651,349064.1561,347627.2651,349065.3317,1.803203445,0.281737857,2.094111133,2.366802,4484.675518,6732.630595
8,36.4,27.5,1,0,8.104167897,0.009159601,345579.2686,347009.2318,345579.2686,347009.2318,345579.2686,347010.4006,1.784308022,0.275264132,2.068731755,2.334958,4377.269131,6575.67752
8,36.2,27.6,1,0,8.003525483,0.01226001,463193.051,465224.8467,463193.051,465224.8467,463193.051,465226.67,1.894723181,0.231573863,2.138557054,2.357972,3689.960345,5542.793386
8,36.4,27.5,1,0,8.074097171,0.010074669,380103.5282,381706.6017,380103.5282,381706.6017,380103.5282,381707.9667,1.831273968,0.26361031,2.104958947,2.35861,4191.949262,6297.283923
8,36.4,50,1,0,7.780460429,0.01322309,768376.1788,771286.782,768376.1788,771286.782,768376.1788,771288.3072,1.769045197,0.285406864,2.06767515,2.339986,5354.983422,7334.287236
8,36.5,28.6,1,0,8.221314997,0.006196954,240113.5252,241030.7364,240113.5252,241030.7364,240113.5252,241031.3356,1.616575673,0.340622631,1.963395257,2.297974,5442.62462,8145.438433
8,36.5,27.7,1,0,8.112421794,0.008756357,332121.1715,333481.6906,332121.1715,333481.6906,332121.1715,333482.7795,1.746816841,0.277298808,2.032872006,2.301539,4410.608062,6620.61921
8,36.4,27.8,1,0,8.016341877,0.011749115,446473.146,448412.5757,446473.146,448412.5757,446473.146,448414.3027,1.880726049,0.239596084,2.132071247,2.360023,3815.777112,5726.568785
8,36.4,27.8,1,0,8.129641645,0.00825866,313833.8569,315103.9972,313833.8569,315103.9972,313833.8569,315104.9832,1.716049297,0.283781254,2.008089211,2.28374,4519.464577,6782.635362
8,36.4,28.6,1,0,8.119793881,0.008413305,325826.3624,327142.7403,325826.3624,327142.7403,325826.3624,327143.7755,1.735754076,0.288809672,2.032977053,2.313502,4618.358169,6912.708071
8,36.5,27.8,1,0,8.047556549,0.010771619,409535.5173,411283.2631,409535.5173,411283.2631,409535.5173,411284.7862,1.854340764,0.254443474,2.119555856,2.363339,4049.101105,6075.980732
8,36.5,28.2,1,0,8.154050177,0.007702874,295660.4522,296838.2296,295660.4522,296838.2296,295660.4522,296839.1107,1.707815975,0.303807269,2.019326118,2.315566,4844.421817,7259.833972
8,36.4,27.6,1,0,8.07815481,0.009938381,375862.0369,377441.8655,375862.0369,377441.8655,375862.0369,377443.2037,1.827040693,0.266429382,2.103408456,2.360016,4238.882546,6365.713205
8,36.7,27.7,1,0,8.062119182,0.010306585,391317.353,392973.7712,391317.353,392973.7712,391317.353,392975.1944,1.834343655,0.260585296,2.105235536,2.355629,4138.310409,6210.409514
8,36.4,27.5,1,0,8.034043876,0.011272014,425277.7136,427112.8318,425277.7136,427112.8318,425277.7136,427114.4524,1.868403836,0.245259888,2.124935738,2.359031,3900.139588,5858.917842
8,36.4,27.5,1,0,8.036951556,0.011075878,417877.7865,419674.5007,417877.7865,419674.5007,417877.7865,419676.0798,1.848226069,0.244240988,2.103542935,2.336816,3883.936961,5834.577724
8,36.4,28,1,0,8.004939978,0.012089929,461618.582,463633.1125,461618.582,463633.1125,461618.582,463634.9132,1.892507405,0.236549223,2.141146557,2.365709,3771.051626,5655.72584
8,36.4,28,1,0,8.010184285,0.011890029,453985.9862,455960.4378,453985.9862,455960.4378,453985.9862,455962.1982,1.88382718,0.238324837,2.134042046,2.360581,3799.358337,5698.179514
8,36,28.1,1,0,8.062612503,0.010289269,393003.6673,394661.2665,393003.6673,394661.2665,393003.6673,394662.6879,1.836594495,0.260627661,2.107511425,2.357963,4169.762121,6254.953675
8,36.2,30.2,1,0,8.210907634,0.006081308,244153.9852,245072.4969,244153.9852,245072.4969,244153.9852,245073.0954,1.592633019,0.344550043,1.94326437,2.281888,5566.020559,8288.071082
8,36.3,29.3,1,0,8.067375129,0.009787207,385085.6604,386681.6792,385085.6604,386681.6792,385085.6604,386683.0237,1.812256737,0.273417147,2.09546109,2.35921,4391.813412,6558.972194
8,36.2,29.2,1,0,8.117394377,0.008469192,332288.2713,333626.8879,332288.2713,333626.8879,332288.2713,333627.9457,1.754748966,0.295290974,2.058509133,2.34546,4744.352239,7088.824955
8,36.2,30,1,0,8.131514154,0.007514689,300327.2565,301503.1102,300327.2565,301503.1102,300327.2565,301503.9841,1.633053079,0.292165482,1.93273325,2.217519,4714.557192,7025.060322
8,36.2,28.3,1,0,8.066633471,0.010008434,384481.926,386092.7751,384481.926,386092.7751,384481.926,386094.1431,1.813240369,0.262825113,2.086073916,2.339006,4202.839762,6298.69166
8,36.2,29,1,0,8.195897085,0.006640307,259321.6535,260321.0886,259321.6535,260321.0886,259321.6535,260321.7735,1.642107056,0.328713114,1.977460477,2.29968,5275.718847,7888.102718
8,36.2,28.2,1,0,8.072860582,0.009926326,380426.0494,382018.2577,380426.0494,382018.2577,380426.0494,382019.6057,1.820800309,0.266769648,2.097496283,2.354456,4263.724161,6392.054225
8,36.2,29.4,1,0,8.183920875,0.006607768,260460.7415,261460.8147,260460.7415,261460.8147,260460.7415,261461.4997,1.601811256,0.316441746,1.92486077,2.23484,5089.631425,7599.564191
8,36.1,28.1,1,0,8.028517088,0.011242404,429626.4857,431471.8948,429626.4857,431471.8948,429626.4857,431473.5201,1.856818274,0.244178456,2.112239134,2.345282,3903.632896,5854.935081
8,36.1,28.1,1,0,8.055823864,0.010468317,400044.8613,401738.2776,400044.8613,401738.2776,400044.8613,401739.7386,1.841169733,0.257833025,2.109471075,2.356948,4121.92581,6182.345695
8,36.2,29.4,1,0,8.222522124,0.0059956,236330.6922,237222.8651,236330.6922,237222.8651,236330.6922,237223.4376,1.588511798,0.342984209,1.937491606,2.274635,5516.538913,8236.999515
8,36.2,28.4,1,0,8.114736113,0.008742855,336658.1634,338030.1155,336658.1634,338030.1155,336658.1634,338031.2143,1.772908748,0.288114162,2.069765765,2.349263,4609.616348,6906.024498
8,36.1,29,1,0,8.221192753,0.006187984,241535.9956,242455.3872,241535.9956,242455.3872,241535.9956,242455.9882,1.620615945,0.343054818,1.969858747,2.306878,5510.171705,8239.773159
8,36.1,28.6,1,0,8.071185005,0.009892648,382539.1125,384134.8286,382539.1125,384134.8286,382539.1125,384136.1777,1.820102191,0.268857494,2.098852333,2.357934,4309.311986,6452.687735
8,36.2,28.2,1,0,8.063486645,0.010101424,387136.6837,388762.7358,387136.6837,388762.7358,387136.6837,388764.1215,1.813353434,0.26000555,2.083460408,2.333479,4155.614983,6229.980015
