CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,SA_cm_2,endo_per_cm2,Chla_norm,Chlc_norm,Chl_total,chla.ug.cm2,chlc2.ug.cm2,mean_NPOC_mgL,mean_TN_mgL,mean_NPOC_uM,mean_TN_uM
110,K,Rubble_Dom,5,9,109.73931649935952,0.516243054970464,2.5841000000000003,0.30288000000000015,2.8869800000000003,0.02354762251503544,0.00275999532036451,1.499395513,0.269822436,124.8383119,19.26381203
111,A,Rubble_Dom,10,19,67.54097501900303,0.4018029054564955,1.1809500000000004,0.10647000000000018,1.2874200000000005,0.01748494154326764,0.00157637641399865,1.341516667,0.252444231,111.6934622,18.02310543
113,C,Rubble_Dom,2,3,63.31029296827319,0.5824038757564717,1.1047500000000003,0.1306700000000004,1.2354200000000009,0.01744976919508955,0.00206396138558258,2.192633974,0.24941782,182.5567181,17.80703667
115,W,Coral_Dom,8,16,83.23427424991537,0.6491508514601475,1.6084333333333336,0.23821999999999985,1.8466533333333337,0.01932417081576624,0.00286204213524454,1.884205128,0.255255385,156.8772118,18.22380608
117,J,Rubble_Dom,2,4,40.782815040028034,0.8299672292552155,1.1978666666666666,0.15459999999999988,1.3524666666666665,0.02937184854679091,0.00379081237644746,2.192633974,0.24941782,182.5567181,17.80703667
118,N,Algae_Dom,4,8,59.07961091754336,0.24221960466145612,1.093166666666667,-0.05290999999999979,1.0402566666666673,0.01850328141373391,-8.955712330544202e-4,1.857941667,0.237480128,154.6905398,16.95475224
125,T,Control,8,15,59.51352702531052,0.7397565259621796,2.570383333333333,0.17347999999999983,2.7438633333333327,0.04318990087812534,0.002914967548681,1.884205128,0.255255385,156.8772118,18.22380608
127,P,Rubble_Dom,11,22,27.295256023598743,0.6838126003970392,4.2253,0.6644500000000007,4.88975,0.1547997936675884,0.02434305798462339,1.785712179,0.327693461,148.6767782,23.39547942
128,R,Algae_Dom,13,25,98.24053964352971,0.40743831564076965,1.2560833333333334,0.1093600000000001,1.3654433333333336,0.0127857943160351,0.00111318606759233,1.593027564,0.254822692,132.6340317,18.19291427
134,U,Control,11,22,44.073345523929014,0.4784352027134296,0.7217666666666666,-0.17571999999999993,0.5460466666666666,0.01637648919433939,-0.00398699027556826,1.785712179,0.327693461,148.6767782,23.39547942
135,P,Algae_Dom,13,25,19.30396770555352,0.4620459449605284,2.619,0.3720500000000001,2.99105,0.13567159038725932,0.01927323986390983,1.593027564,0.254822692,132.6340317,18.19291427
136,S,Coral_Dom,16,31,29.60947526502361,0.7929623807867666,0.9893833333333334,0.19406,1.1834433333333334,0.03341441630800414,0.00655398308245669,1.313048077,0.260976667,109.3231932,18.6322736
137,P,Coral_Dom,9,18,38.649394176839486,0.22054679462758503,0.7670333333333335,0.5856899999999999,1.3527233333333335,0.01984593418880164,0.01515392446443774,1.459732051,0.252799615,121.535968,18.0484779
138,R,Coral_Dom,16,32,60.16440118696127,0.2580409626575744,3.132283333333333,0.2357900000000004,3.3680733333333333,0.05206207111480324,0.0039190949354814,1.313048077,0.260976667,109.3231932,18.6322736
139,T,Rubble_Dom,12,24,59.802804430488635,0.7951921394468197,2.8677166666666665,0.26631000000000016,3.1340266666666667,0.04795287936744451,0.00445313564369242,1.440459028,0.266772917,119.9313136,19.04609342
140,V,Coral_Dom,8,16,49.750414600549384,0.4333889510895031,0.9365,0.10385000000000004,1.04035,0.01882396373034446,0.00208741979006542,1.884205128,0.255255385,156.8772118,18.22380608
141,T,Algae_Dom,4,8,75.27914560751742,0.5820894969831352,1.5544833333333334,0.17510000000000037,1.7295833333333337,0.02064958788701817,0.00232600939584442,1.857941667,0.237480128,154.6905398,16.95475224
145,D,Rubble_Dom,5,10,56.18683686576229,0.43415150880053105,0.8782833333333334,0.1490900000000001,1.0273733333333337,0.01563147851453936,0.00265346846886844,1.499395513,0.269822436,124.8383119,19.26381203
146,O,Control,11,21,71.6270183671438,0.14447285725279932,3.1492000000000004,0.28392000000000017,3.4331200000000006,0.04396664934078841,0.00396386735705469,1.785712179,0.327693461,148.6767782,23.39547942
147,H,Coral_Dom,6,11,88.73054494829944,0.2956240155550034,2.191516666666667,0.2403000000000004,2.431816666666667,0.02469855975641302,0.00270819930313073,1.264372436,0.24369782,105.2705035,17.39866068
148,O,Coral_Dom,6,12,35.90125882764746,0.4955971066479151,1.1788166666666668,0.16064999999999988,1.3394666666666668,0.03283496749371968,0.00447477345462206,1.264372436,0.24369782,105.2705035,17.39866068
