TANK_NUM,DATE,TIME,TREATMENT,NPOC_mg_L,TN_mg_L,NPOC_uM,TN_uM,DATETIME
6,20240620,21:00:00,Coral_Dom,0.947208333,0.429175,78.86370764,30.64069338,2024-06-20T21:00:00Z
7,20240620,21:00:00,Coral_Dom,1.023683333,0.443083333,85.23094685,31.63367055,2024-06-20T21:00:00Z
8,20240620,21:00:00,Control,1.009183333,0.297083333,84.02368999,21.21008755,2024-06-20T21:00:00Z
9,20240620,21:00:00,Coral_Dom,0.913983333,0.352083333,76.09742424,25.13677978,2024-06-20T21:00:00Z
10,20240620,21:00:00,Rubble_Dom,1.015683333,0.388783333,84.5648741,27.75695441,2024-06-20T21:00:00Z
11,20240620,21:00:00,Control,1.799683333,0.431183333,149.8400038,30.78407714,2024-06-20T21:00:00Z
12,20240620,21:00:00,Rubble_Dom,2.479683333,0.525783333,206.4561877,37.53798777,2024-06-20T21:00:00Z
13,20240620,21:00:00,Algae_Dom,1.040683333,0.394383333,86.64635145,28.15676307,2024-06-20T21:00:00Z
14,20240620,21:00:00,Algae_Dom,1.652683333,0.636583333,137.600917,45.44848775,2024-06-20T21:00:00Z
15,20240620,21:00:00,Control,1.115683333,0.251683333,92.8907835,17.96878161,2024-06-20T21:00:00Z
16,20240620,21:00:00,Coral_Dom,1.133683333,0.351583333,94.38944719,25.10108258,2024-06-20T21:00:00Z
Inflow1,20240620,12:00:00,Inflow,1.255683333,0.547683333,104.5470567,39.10152522,2024-06-20T12:00:00Z
Inflow2,20240620,12:00:00,Inflow,1.189683333,0.153203333,99.05195645,10.93786069,2024-06-20T12:00:00Z
1,20240620,12:00:00,Algae_Dom,1.495683333,0.180983333,124.5292392,12.92119724,2024-06-20T12:00:00Z
2,20240620,12:00:00,Rubble_Dom,1.165683333,0.192783333,97.05373819,13.76365121,2024-06-20T12:00:00Z
3,20240620,12:00:00,Control,1.231683333,0.245883333,102.5488384,17.55469406,2024-06-20T12:00:00Z
4,20240620,12:00:00,Algae_Dom,2.304683333,0.247583333,191.8858462,17.67606455,2024-06-20T12:00:00Z
5,20240620,12:00:00,Rubble_Dom,1.091683333,0.244983333,90.89256524,17.4904391,2024-06-20T12:00:00Z
6,20240620,12:00:00,Coral_Dom,1.264683333,0.417383333,105.2963885,29.79883437,2024-06-20T12:00:00Z
7,20240620,12:00:00,Coral_Dom,2.173683333,0.591783333,180.9789049,42.25001844,2024-06-20T12:00:00Z
8,20240620,12:00:00,Control,1.221683333,0.497783333,101.7162475,35.53894446,2024-06-20T12:00:00Z
9,20240620,12:00:00,Coral_Dom,1.099633333,0.247458333,91.55447504,17.66714025,2024-06-20T12:00:00Z
10,20240620,12:00:00,Rubble_Dom,1.248633333,0.244158333,103.96008,17.43153872,2024-06-20T12:00:00Z
11,20240620,12:00:00,Control,1.346633333,0.255058333,112.1194712,18.20973772,2024-06-20T12:00:00Z
12,20240620,12:00:00,Rubble_Dom,1.217633333,0.383758333,101.3790481,27.39819753,2024-06-20T12:00:00Z
13,20240620,12:00:00,Algae_Dom,0.934833333,0.339158333,77.83337635,24.21400711,2024-06-20T12:00:00Z
14,20240620,12:00:00,Algae_Dom,1.372633333,0.257458333,114.2842077,18.38108429,2024-06-20T12:00:00Z
15,20240620,12:00:00,Control,4.513633333,0.657958333,375.8010219,46.97454314,2024-06-20T12:00:00Z
16,20240620,12:00:00,Coral_Dom,1.067633333,0.500058333,88.89018403,35.70136673,2024-06-20T12:00:00Z
C1,20240626,14:00:00,Algae_Dom,1.911633333,0.393358333,159.1608593,28.08358381,2024-06-26T14:00:00Z
C2,20240626,14:00:00,Algae_Dom,1.519633333,0.786758333,126.5232945,56.17014238,2024-06-26T14:00:00Z
C3,20240626,14:00:00,Rubble_Dom,2.213633333,0.434058333,184.3051057,30.98933606,2024-06-26T14:00:00Z
C4,20240626,14:00:00,Rubble_Dom,1.563633333,0.940258333,130.1866946,67.12918341,2024-06-26T14:00:00Z
C5,20240626,14:00:00,Control,1.192633333,0.624358333,99.29757078,44.57569116,2024-06-26T14:00:00Z
C6,20240626,14:00:00,Control,1.184633333,0.937658333,98.63149803,66.94355796,2024-06-26T14:00:00Z
C7,20240626,14:00:00,Algae_Dom,1.896633333,0.662658333,157.9119729,47.31009683,2024-06-26T14:00:00Z
C8,20240626,14:00:00,Algae_Dom,1.102633333,0.335658333,91.80425232,23.96412669,2024-06-26T14:00:00Z
C9,20240626,14:00:00,Rubble_Dom,1.161633333,0.457158333,96.71653886,32.63854679,2024-06-26T14:00:00Z
C10,20240626,14:00:00,Rubble_Dom,1.224633333,0.665858333,101.9618618,47.53855893,2024-06-26T14:00:00Z
C11,20240626,14:00:00,Coral_Dom,1.073633333,0.528358333,89.38973859,37.72182836,2024-06-26T14:00:00Z
C12,20240626,14:00:00,Coral_Dom,1.137633333,0.452558333,94.71832061,32.31013253,2024-06-26T14:00:00Z
C13,20240626,14:00:00,Coral_Dom,2.105633333,0.627758333,175.3131236,44.81843213,2024-06-26T14:00:00Z
C14,20240626,14:00:00,Coral_Dom,1.254633333,0.420658333,104.4596346,30.03265104,2024-06-26T14:00:00Z
C15,20240626,14:00:00,Control,1.504633333,0.326358333,125.2744081,23.30015873,2024-06-26T14:00:00Z
C16,20240626,14:00:00,Control,2.719633333,0.829458333,226.4342073,59.21868344,2024-06-26T14:00:00Z
